机场代码,机场全称,机场简称,英文名,所属城市,城市三字码,所属省州,所属国家/地区,机场类型
NMI,新孟买国际机场,新孟买国际机场,Navi Mumbai International Airport,孟买,BOM,马哈拉施特拉邦,印度,机场
JNH,嘉兴南湖机场,南湖机场,Jiaxing Nanhu Airport,嘉兴,JXS,浙江省,中国,非海关机场
SKJ,山口洋机场,山口洋,Singkawang Airport,山口洋,SKJ,西加里曼丹,印度尼西亚,机场
NPY,姆潘达机场,姆潘达机场,Mpanda Airport,姆潘达,MPD,卡塔维,坦桑尼亚,机场
GGZ,格拉茨火车站,格拉茨火车站,Graz Hauptbahnhof,格拉茨,GRZ,施蒂里亚,奥地利,非海关机场
JMU,松江国际机场,松江国际机场,songjiangguojijichang,佳木斯,JMU,黑龙江省,中国,机场
BLR,班加罗尔机场,班加罗尔机场,Bengaluru Airport,班加罗尔,BLR,卡纳塔克邦,印度,机场
CAK,阿克伦坎通地区机场,阿克伦坎通机场,Akron Canton Regional Airport,阿克伦/坎通,CAK,俄亥俄州,美国,机场
BBA,巴尔马塞达机场,巴尔马塞达机场,Balmaceda Airport,巴尔马赛达,BBA,巴尔马赛达,智利,机场
SCQ,圣地亚哥德孔波斯特拉机场,圣地亚哥德孔波斯特拉机场,Santiago De Compostela Airport,圣地亚哥－德康波斯泰拉,SCQ,加利西亚,西班牙,机场
ANA,阿纳希姆机场,阿纳希姆机场,Anaheim,马塞马拉,MRE,马塞马拉,肯尼亚,机场
BJC,落基山大都会机场,落基山大都会机场,Rocky Mountain Metropolitan Airport,丹佛,DEN,科罗拉多州,美国,机场
BSL,巴塞尔米卢斯弗赖堡欧洲机场,巴塞尔米卢斯弗赖堡机场,EuroAirport Swiss Basel Mulhouse Freiburg,巴塞尔,EAP,巴塞尔城市州,瑞士,机场
BJV,米拉斯机场,米拉斯机场,Milas Airport,博德鲁姆,BJV,穆拉,土耳其,机场
EIS,泰伦斯利尔森机场,泰伦斯利尔森机场,Terrance B. Lettsome Airport,托尔托拉岛,TOV,托尔托拉,英属维尔京群岛,机场
GNY,桑利乌法机场,桑利乌法机场,Sanliurfa Airport,桑利乌法,SFQ,桑利乌法,土耳其,机场
KGK,科里加内克机场,科里加内克机场,Koliganek Airport,科里加内克,KGK,阿拉斯加州,美国,机场
MDR,梅德弗拉机场,梅德弗拉机场,Medfra Airport,马塞马拉,MRE,马塞马拉,肯尼亚,机场
MJI,米提加机场,米提加机场,Mitiga Airport,的黎波里,TIP,的黎波里,利比亚,机场
MQP,克鲁格尔普马兰加国际机场,克鲁格尔普马兰加机场,Kruger Mpumalanga International Airport,内尔斯普雷特,NLP,内尔斯普雷特,南非,机场
IPL,因皮里尔郡机场,因皮里尔郡机场,Imperial County Airport,因皮里尔,IPL,加利福尼亚州,美国,机场
OGL,欧格勒机场,欧格勒机场,Ogle Airport,乔治敦,GEO,乔治敦,圭亚那,机场
ECP,西北佛罗里达海滩国际机场,西北佛罗里达海滩机场,Northwest Florida Beaches International Airport,巴拿马城,ECP,佛罗里达州,美国,机场
PHF,纽波特纽斯国际机场,纽波特纽斯机场,Newport News International Airport,纽波特纽斯,PHF,弗吉尼亚州,美国,机场
PIE,圣彼得斯堡国际机场,圣彼得斯堡机场,St. Pete-Clearwater International Airport,坦帕,TPA,佛罗里达州,美国,机场
SCK,斯托克顿市机场,斯托克顿市机场,Stockton Metropolitan Airport,萨克拉门托,SAC,加利福尼亚州,美国,机场
SHO,姆斯瓦蒂三世国际机场,姆斯瓦蒂三世机场,King Mswati Iii International Airport,曼齐尼,MTS,曼齐尼,斯威士兰,机场
SWF,斯提尤瓦特机场,斯提尤瓦特机场,Stewart Airport,纽约,NYC,纽约州,美国,机场
TLC,托卢卡机场,托卢卡机场,Toluca Airport,墨西哥城,MEX,联邦区,墨西哥,机场
TTN,特伦顿梅塞尔机场,特伦顿梅塞尔机场,Trenton Mercer Airport,费城,PHL,宾夕法尼亚州,美国,机场
UKB,神户机场,神户机场,Kobe Airport,大阪,OSA,大阪,日本,机场
WPL,鲍威尔湖水上飞机场,鲍威尔湖水上飞机场,Powell Lake water Airport,鲍威尔河,YPW,不列颠哥伦比亚,加拿大,机场
XFW,芬肯维尔德机场,芬肯维尔德机场,Finkenwerder Airport,汉堡,HAM,汉堡,德国,机场
YHM,哈密尔顿机场,哈密尔顿机场,Hamilton Airport,多伦多,YTO,安大略,加拿大,机场
YKF,基奇纳/滑铁卢区国际机场,基奇纳/滑铁卢区机场,Region Of Waterloo International Airport,基奇纳,YKF,安大略,加拿大,机场
YBB,库加鲁克机场,库加鲁克机场,Kugaaruk Airport,库帕鲁克,YBB,努纳武特地区,加拿大,机场
DDR,定日机场,定日机场,Xigaze Dingri Airport,日喀则,RKZ,西藏自治区,中国,机场
ETM,拉蒙机场,拉蒙机场,Ramon International Airport,埃拉特,ETM,埃拉特,以色列,机场
WMI,莫德林机场,莫德林机场,Modlin Airport,马佐夫舍地区新庄园,WMI,马佐夫舍省,波兰,机场
DEQ,德清莫干山通用机场,德清莫干山通用机场,AGUNG SEDAYU TVL,湖州,HZC,浙江省,中国,机场
HSR,希拉萨尔机场,希拉萨尔机场,xilasaerjichang,拉杰果德,HSR,古吉拉特邦,印度,机场
PHH,博克拉国际机场,博克拉国际机场,Pokhara International Airport,博克拉,PKR,博克拉,尼泊尔,机场
